key,value0,value1
catch_area,4,40000
width,400,400
length,100.0,100.0
slope,1.5,0.015
roughness,0.075,0.075
intensity,73,2.0277777777777776e-05
duration,60,3600
ini_loss,2,0.002
cont_loss,3,8.333333333333333e-07
ini_loss_dur,1.6438356164383563,98.63013698630138
rainfall_excess,69.99999999999999,1.9444444444444442e-05
alpha,1.632993161855452,1.632993161855452
beta,1.6666666666666667,1.6666666666666667
time_conc_rel,15.084812425330863,905.0887455198518
time_conc_abs,16.728648041769222,1003.7188825061532
step,1.0,60
