Date_Time,Q_recorded,Q_predicted_4,Q_abs_diff
1985-10-23 13:05:00,0.028,0.0,0.028
1985-10-23 13:10:00,0.028,0.0,0.028
1985-10-23 13:15:00,0.028,0.0,0.028
1985-10-23 13:20:00,0.028,0.0,0.028
1985-10-23 13:25:00,0.028,0.0,0.028
1985-10-23 13:30:00,0.029,0.0,0.029
1985-10-23 13:35:00,0.029,0.0,0.029
1985-10-23 13:40:00,0.029,0.0,0.029
1985-10-23 13:45:00,0.029,0.001,0.028
1985-10-23 13:50:00,0.029,0.007,0.022000000000000002
1985-10-23 13:55:00,0.041,0.015,0.026000000000000002
1985-10-23 14:00:00,0.305,0.041,0.264
1985-10-23 14:05:00,1.497,0.262,1.235
1985-10-23 14:10:00,1.682,0.801,0.8809999999999999
1985-10-23 14:15:00,0.885,0.838,0.04700000000000004
1985-10-23 14:20:00,0.492,0.679,0.18700000000000006
1985-10-23 14:25:00,0.269,0.535,0.266
1985-10-23 14:30:00,0.166,0.428,0.262
1985-10-23 14:35:00,0.107,0.347,0.24
1985-10-23 14:40:00,0.078,0.285,0.20699999999999996
1985-10-23 14:45:00,0.044,0.237,0.193
1985-10-23 14:50:00,0.039,0.201,0.162
1985-10-23 14:55:00,0.036,0.171,0.135
1985-10-23 15:00:00,0.035,0.147,0.11199999999999999
1985-10-23 15:05:00,0.035,0.127,0.092
1985-10-23 15:10:00,0.034,0.111,0.077
1985-10-23 15:15:00,0.039,0.097,0.058
1985-10-23 15:20:00,0.029,0.085,0.05600000000000001
1985-10-23 15:25:00,0.028,0.075,0.047
1985-10-23 15:30:00,0.028,0.066,0.038000000000000006
1985-10-23 15:35:00,0.028,0.058,0.030000000000000002
1985-10-23 15:40:00,0.028,0.052,0.023999999999999997
1985-10-23 15:45:00,0.028,0.046,0.018
1985-10-23 15:50:00,0.028,0.041,0.013000000000000001
1985-10-23 15:55:00,0.028,0.036,0.007999999999999997
1985-10-23 16:00:00,0.028,0.032,0.004
1985-10-23 16:05:00,0.028,0.029,0.0010000000000000009
1985-10-23 16:10:00,0.028,0.026,0.0020000000000000018
1985-10-23 16:15:00,0.028,0.023,0.005000000000000001
1985-10-23 16:20:00,0.038,0.039,0.0010000000000000009
1985-10-23 16:25:00,0.76,0.594,0.16600000000000004
1985-10-23 16:30:00,8.064,9.708,1.6440000000000001
1985-10-23 16:35:00,11.89,9.819,2.0709999999999997
1985-10-23 16:40:00,7.904,5.891,2.013
1985-10-23 16:45:00,3.0,3.699,0.6989999999999998
1985-10-23 16:50:00,1.61,2.527,0.917
1985-10-23 16:55:00,0.857,1.807,0.95
1985-10-23 17:00:00,0.53,1.357,0.827
1985-10-23 17:05:00,0.366,1.055,0.689
1985-10-23 17:10:00,0.293,0.836,0.5429999999999999
1985-10-23 17:15:00,0.24,0.682,0.44200000000000006
1985-10-23 17:20:00,0.201,0.561,0.36000000000000004
1985-10-23 17:25:00,0.172,0.468,0.29600000000000004
1985-10-23 17:30:00,0.154,0.394,0.24000000000000002
1985-10-23 17:35:00,0.136,0.335,0.199
1985-10-23 17:40:00,0.121,0.287,0.16599999999999998
1985-10-23 17:45:00,0.117,0.248,0.131
1985-10-23 17:50:00,0.112,0.216,0.104
1985-10-23 17:55:00,0.107,0.189,0.082
1985-10-23 18:00:00,0.105,0.166,0.06100000000000001
1985-10-23 18:05:00,0.102,0.146,0.044
1985-10-23 18:10:00,0.102,0.13,0.02800000000000001
1985-10-23 18:15:00,0.102,0.116,0.014000000000000012
1985-10-23 18:20:00,0.102,0.103,0.0010000000000000009
1985-10-23 18:25:00,0.102,0.092,0.009999999999999995
1985-10-23 18:30:00,0.102,0.082,0.01999999999999999
1985-10-23 18:35:00,0.102,0.073,0.028999999999999998
1985-10-23 18:40:00,0.102,0.066,0.03599999999999999
1985-10-23 18:45:00,0.102,0.059,0.043
1985-10-23 18:50:00,0.102,0.053,0.048999999999999995
1985-10-23 18:55:00,0.102,0.048,0.05399999999999999
1985-10-23 19:00:00,0.102,0.043,0.059
1985-10-23 19:05:00,0.102,0.039,0.063
1985-10-23 19:10:00,0.102,0.035,0.06699999999999999
1985-10-23 19:15:00,0.102,0.031,0.071
1985-10-23 19:20:00,0.102,0.028,0.074
1985-10-23 19:25:00,0.102,0.026,0.076
1985-10-23 19:30:00,0.102,0.023,0.07899999999999999
1985-10-23 19:35:00,0.1,0.021,0.079
1985-10-23 19:40:00,0.097,0.019,0.078
1985-10-23 19:45:00,0.097,0.017,0.08
1985-10-23 19:50:00,0.097,0.016,0.081
1985-10-23 19:55:00,0.098,0.014,0.084
